common name,scientific name,extinct,forefront recs,background recs,africa,americas,asia,australasia,europe
Pale-bellied White-eye ,Zosterops consobrinorum ,False,1,0,False,False,True,False,False
Pearl-bellied White-eye ,Zosterops grayi ,False,6,3,False,False,True,False,False
Golden-bellied White-eye ,Zosterops uropygialis ,False,8,0,False,False,True,False,False
Black-ringed White-eye ,Zosterops anomalus ,False,11,0,False,False,True,True,False
Cream-throated White-eye ,Zosterops atriceps ,False,26,2,False,False,True,False,False
Sangihe White-eye ,Zosterops nehrkorni ,False,0,0,False,False,True,False,False
Black-crowned White-eye ,Zosterops atrifrons ,False,23,3,False,False,True,True,False
Togian White-eye ,Zosterops somadikartai ,False,4,0,False,False,True,False,False
Seram White-eye ,Zosterops stalkeri ,False,1,0,False,False,True,False,False
Black-fronted White-eye ,Zosterops minor ,False,6,5,False,False,True,True,False
Tagula White-eye ,Zosterops meeki ,False,2,0,False,False,True,False,False
Bismarck White-eye ,Zosterops hypoxanthus ,False,2,0,False,False,False,True,False
Biak White-eye ,Zosterops mysorensis ,False,9,0,False,False,True,False,False
Capped White-eye ,Zosterops fuscicapilla ,False,6,0,False,False,True,True,False
Buru White-eye ,Zosterops buruensis ,False,3,0,False,False,True,False,False
Ambon White-eye ,Zosterops kuehni ,False,3,0,False,False,True,False,False
Papuan White-eye ,Zosterops novaeguineae ,False,3,0,False,False,True,True,False
Yellow-throated White-eye ,Zosterops metcalfii ,False,17,3,False,False,False,False,False
Christmas White-eye ,Zosterops natalis ,False,3,2,False,False,False,False,False
Canary White-eye ,Zosterops luteus ,False,3,5,False,False,False,True,False
Louisiade White-eye ,Zosterops griseotinctus ,False,3,1,False,False,True,True,False
Rennell White-eye ,Zosterops rennellianus ,False,1,0,False,False,False,False,False
Wangi-wangi White-eye ,Zosterops tax.nov.Wangi.wangi ,False,5,0,False,False,False,False,False
Vella Lavella White-eye ,Zosterops vellalavella ,False,3,0,False,False,False,False,False
Gizo White-eye ,Zosterops luteirostris ,False,9,1,False,False,False,False,False
Ranongga White-eye ,Zosterops splendidus ,False,7,2,False,False,False,False,False
Solomons White-eye ,Zosterops kulambangrae ,False,5,0,False,False,False,False,False
Dark-eyed White-eye ,Zosterops tetiparius ,False,1,0,False,False,False,False,False
Kolombangara White-eye ,Zosterops murphyi ,False,3,0,False,False,False,False,False
Grey-throated White-eye ,Zosterops rendovae ,False,15,0,False,False,False,False,False
Malaita White-eye ,Zosterops stresemanni ,False,3,0,False,False,False,False,False
Santa Cruz White-eye ,Zosterops sanctaecrucis ,False,6,0,False,False,False,False,False
Vanikoro White-eye ,Zosterops gibbsi ,False,1,0,False,False,False,False,False
Samoan White-eye ,Zosterops samoensis ,False,2,0,False,False,False,False,False
Fiji White-eye ,Zosterops explorator ,False,10,25,False,False,False,False,False
Vanuatu White-eye ,Zosterops flavifrons ,False,4,0,False,False,False,False,False
Small Lifou White-eye ,Zosterops minutus ,False,5,0,False,False,False,False,False
Green-backed White-eye ,Zosterops xanthochroa ,False,4,2,False,False,False,False,False
Silvereye ,Zosterops lateralis ,False,64,111,False,False,False,True,False
Slender-billed White-eye ,Zosterops tenuirostris ,False,2,0,False,False,False,False,False
Robust White-eye ,Zosterops strenuus ,True,0,0,False,False,False,False,False
White-chested White-eye ,Zosterops albogularis ,True,0,0,False,False,False,False,False
