Common name 	Scientific name 	Status 	No. 	No. Back
Bristle-thighed Curlew 	Numenius tahitiensis 		31 	4
Whimbrel 	Numenius phaeopus 		473 	96
Little Curlew 	Numenius minutus 		5 	1
Far Eastern Curlew 	Numenius madagascariensis 		15 	2
Eurasian Curlew 	Numenius arquata 		606 	613
Bar-tailed Godwit 	Limosa lapponica 		80 	11
Black-tailed Godwit 	Limosa limosa 		263 	126
Hudsonian Godwit 	Limosa haemastica 		13 	1
Ruddy Turnstone 	Arenaria interpres 		178 	55
Great Knot 	Calidris tenuirostris 		6 	3
Red Knot 	Calidris canutus 		63 	14
Ruff 	Calidris pugnax 		32 	9
Broad-billed Sandpiper 	Calidris falcinellus 		46 	2
Sharp-tailed Sandpiper 	Calidris acuminata 		10 	1
Stilt Sandpiper 	Calidris himantopus 		43 	9
Curlew Sandpiper 	Calidris ferruginea 		53 	20
Long-toed Stint 	Calidris subminuta 		17 	0
Red-necked Stint 	Calidris ruficollis 		20 	2
Sanderling 	Calidris alba 		113 	38
Dunlin 	Calidris alpina 		343 	218
Baird's Sandpiper 	Calidris bairdii 		73 	7
Little Stint 	Calidris minuta 		67 	18
White-rumped Sandpiper 	Calidris fuscicollis 		52 	10
Buff-breasted Sandpiper 	Calidris subruficollis 		7 	0
Pectoral Sandpiper 	Calidris melanotos 		98 	29
Western Sandpiper 	Calidris mauri 		44 	5
Asian Dowitcher 	Limnodromus semipalmatus 		6 	2
Long-billed Dowitcher 	Limnodromus scolopaceus 		90 	40
Short-billed Dowitcher 	Limnodromus griseus 		33 	3
Javan Woodcock 	Scolopax saturata 		2 	0
Sulawesi Woodcock 	Scolopax celebensis 		0 	0
Chatham Snipe 	Coenocorypha pusilla 		1 	1
Subantarctic Snipe 	Coenocorypha aucklandica 		0 	0
Latham's Snipe 	Gallinago hardwickii 		25 	2
Pin-tailed Snipe 	Gallinago stenura 		43 	2
Swinhoe's Snipe 	Gallinago megala 		35 	8
Terek Sandpiper 	Xenus cinereus 		76 	14
Wilson's Phalarope 	Phalaropus tricolor 		25 	22
Red-necked Phalarope 	Phalaropus lobatus 		109 	22
