Common name 	Scientific name 	Status 	No. 	No. Back
White-throated Rail 	Dryolimnas cuvieri 		15 	0
African Crake 	Crex egregia 		1 	1
Corn Crake 	Crex crex 		463 	167
Rouget's Rail 	Rougetius rougetii 		10 	0
White-breasted Waterhen 	Amaurornis phoenicurus 		130 	32
Black Crake 	Amaurornis flavirostra 		63 	23
Sakalava Rail 	Amaurornis olivieri 		13 	0
Little Crake 	Porzana parva 		159 	21
Baillon's Crake 	Porzana pusilla 		113 	7
Spotted Crake 	Porzana porzana 		322 	97
Sora 	Porzana carolina 		158 	157
Striped Crake 	Aenigmatolimnas marginalis 		1 	0
Watercock 	Gallicrex cinerea 		12 	0
Western Swamphen 	Porphyrio porphyrio 		96 	420
African Swamphen 	Porphyrio madagascariensis 		21 	12
Allen's Gallinule 	Porphyrio alleni 		10 	1
Purple Gallinule 	Porphyrio martinica 		124 	24
Common Moorhen 	Gallinula chloropus 		1010 	690
Lesser Moorhen 	Paragallinula angulata 		2 	0
Red-knobbed Coot 	Fulica cristata 		34 	73
Eurasian Coot 	Fulica atra 		933 	1170
Grey Crowned Crane 	Balearica regulorum 		17 	1
Black Crowned Crane 	Balearica pavonina 		3 	0
Wattled Crane 	Grus carunculata 		2 	0
Blue Crane 	Grus paradisea 		29 	3
Demoiselle Crane 	Grus virgo 		44 	4
Common Crane 	Grus grus 		467 	527
Common Buttonquail 	Turnix sylvaticus 		140 	9
Hottentot Buttonquail 	Turnix hottentottus 		1 	0
Black-rumped Buttonquail 	Turnix nanus 		2 	1
Madagascan Buttonquail 	Turnix nigricollis 		0 	0
Quail-plover 	Ortyxelos meiffrenii 		0 	0
Eurasian Stone-curlew 	Burhinus oedicnemus 		307 	101
Senegal Thick-knee 	Burhinus senegalensis 		36 	28
Water Thick-knee 	Burhinus vermiculatus 		38 	3
Spotted Thick-knee 	Burhinus capensis 		24 	5
Great Stone-curlew 	Esacus recurvirostris 		25 	3
Snowy Sheathbill 	Chionis albus 		6 	0
African Oystercatcher 	Haematopus moquini 		11 	0
Eurasian Oystercatcher 	Haematopus ostralegus 		534 	658
Crab-plover 	Dromas ardeola 		30 	7
Black-winged Stilt 	Himantopus himantopus 		403 	505
Pied Avocet 	Recurvirostra avosetta 		299 	367
Northern Lapwing 	Vanellus vanellus 		520 	627
Long-toed Lapwing 	Vanellus crassirostris 		9 	0
Blacksmith Lapwing 	Vanellus armatus 		46 	26
Spur-winged Lapwing 	Vanellus spinosus 		71 	52
Black-headed Lapwing 	Vanellus tectus 		13 	3
White-crowned Lapwing 	Vanellus albiceps 		12 	5
Senegal Lapwing 	Vanellus lugubris 		9 	0
Black-winged Lapwing 	Vanellus melanopterus 		23 	1
Crowned Lapwing 	Vanellus coronatus 		54 	12
African Wattled Lapwing 	Vanellus senegallus 		58 	6
Spot-breasted Lapwing 	Vanellus melanocephalus 		17 	2
Brown-chested Lapwing 	Vanellus superciliosus 		2 	0
Red-wattled Lapwing 	Vanellus indicus 		134 	60
Sociable Lapwing 	Vanellus gregarius 		6 	1
White-tailed Lapwing 	Vanellus leucurus 		33 	7
European Golden Plover 	Pluvialis apricaria 		305 	85
Pacific Golden Plover 	Pluvialis fulva 		58 	8
American Golden Plover 	Pluvialis dominica 		73 	3
Grey Plover 	Pluvialis squatarola 		222 	86
Common Ringed Plover 	Charadrius hiaticula 		317 	172
Semipalmated Plover 	Charadrius semipalmatus 		109 	23
Little Ringed Plover 	Charadrius dubius 		475 	84
Madagascan Plover 	Charadrius thoracicus 		4 	0
Kittlitz's Plover 	Charadrius pecuarius 		11 	0
Three-banded Plover 	Charadrius tricollaris 		31 	5
Forbes's Plover 	Charadrius forbesi 		7 	0
White-fronted Plover 	Charadrius marginatus 		11 	0
Kentish Plover 	Charadrius alexandrinus 		152 	47
Chestnut-banded Plover 	Charadrius pallidus 		9 	0
Lesser Sand Plover 	Charadrius mongolus 		34 	5
Greater Sand Plover 	Charadrius leschenaultii 		18 	0
Caspian Plover 	Charadrius asiaticus 		1 	0
Eurasian Dotterel 	Charadrius morinellus 		110 	2
Egyptian Plover 	Pluvianus aegyptius 		8 	0
Greater Painted-snipe 	Rostratula benghalensis 		8 	0
Lesser Jacana 	Microparra capensis 		0 	0
African Jacana 	Actophilornis africanus 		40 	6
Madagascan Jacana 	Actophilornis albinucha 		1 	0
Pheasant-tailed Jacana 	Hydrophasianus chirurgus 		18 	0
Upland Sandpiper 	Bartramia longicauda 		70 	6
Whimbrel 	Numenius phaeopus 		473 	96
Far Eastern Curlew 	Numenius madagascariensis 		15 	2
